Split,Accuracy,Macro-F1,Weighted-F1,ROC-AUC,PR-AUC,Model
split1/val,0.5,0.4962,0.4962,0.5362,0.5415,DNA-FM-MLP
split1/mouse,0.561,0.5605,0.5605,0.5683,0.546,DNA-FM-MLP
split1/fruitfly,0.5702,0.5501,0.5515,0.6204,0.5685,DNA-FM-MLP
split1/val,0.8333,0.8331,0.8331,0.9164,0.8965,Protein-FM-MLP
split1/mouse,0.735,0.7296,0.7296,0.8347,0.8142,Protein-FM-MLP
split1/fruitfly,0.8934,0.893,0.8929,0.951,0.9315,Protein-FM-MLP
split2/val,0.64,0.6305,0.6329,0.6755,0.6303,DNA-FM-MLP
split2/mouse,0.5478,0.5403,0.5405,0.5789,0.5768,DNA-FM-MLP
split2/fruitfly,0.6091,0.6091,0.6092,0.6425,0.6021,DNA-FM-MLP
split2/val,0.84,0.8333,0.8347,0.9231,0.9021,Protein-FM-MLP
split2/mouse,0.7556,0.7488,0.7489,0.866,0.8388,Protein-FM-MLP
split2/fruitfly,0.9289,0.9289,0.9289,0.9749,0.9636,Protein-FM-MLP
split3/val,0.495,0.4834,0.4834,0.4939,0.4876,DNA-FM-MLP
split3/fruitfly,0.5364,0.4493,0.446,0.6075,0.5831,DNA-FM-MLP
split3/val,0.805,0.8002,0.8002,0.9168,0.9039,Protein-FM-MLP
split3/fruitfly,0.9289,0.9289,0.9288,0.975,0.9653,Protein-FM-MLP
